id,title,creator,date,location,image,source,subject
Q19868575,Portrait de Hyacinthe Gabrielle Roland,Élisabeth Vigée Le Brun,1791,Legion of Honor,https://commons.wikimedia.org/wiki/Special:FilePath/Elisabeth%2520Vig%25C3%25A9e-Lebrun%2520-%2520Portrait%2520of%2520Hyacinthe%2520Gabrielle%2520Roland.jpg,https://www.wikidata.org/wiki/Q19868575,Hyacinthe-Gabrielle Roland
Q107349862,,Jean-Baptiste Greuze,1791,musée d'Art de Baltimore,,https://www.wikidata.org/wiki/Q107349862,Adèle-Rosalie Collart-Dutilleul
Q98608822,Les Adieux de Psyché à sa famille,Marie-Guillemine Benoist,1791,musées des Beaux-Arts de San Francisco,https://commons.wikimedia.org/wiki/Special:FilePath/Marie-Guillemine%2520Benoist%2520-%2520Psyche%2520Bidding%2520Her%2520Family%2520Farewell.jpg,https://www.wikidata.org/wiki/Q98608822,Psyché
Q98608822,Les Adieux de Psyché à sa famille,Marie-Guillemine Benoist,1791,musées des Beaux-Arts de San Francisco,https://commons.wikimedia.org/wiki/Special:FilePath/Marie-Guillemine%2520Benoist%2520-%2520Les%2520Adieux%2520de%2520Psych%25C3%25A9%2520%25C3%25A0%2520sa%2520famille.jpg,https://www.wikidata.org/wiki/Q98608822,Psyché
Q21671900,L'Invention de l'art du dessin,Joseph-Benoît Suvée,1791,musée Groeninge,https://commons.wikimedia.org/wiki/Special:FilePath/Joseph%2520Benoit%2520Suvee%252C%2520The%2520Invention%2520of%2520the%2520Art%2520of%2520Drawing%252C%25201791.%2520Groeningemuseum%252C%2520Bruges.jpg,https://www.wikidata.org/wiki/Q21671900,Callirrhoé
Q63034968,,Élisabeth Vigée Le Brun,1791,Phoenix Art Museum,https://commons.wikimedia.org/wiki/Special:FilePath/Madame%2520Victoire%2520de%2520France%2520by%2520E.Vigee-Lebrun%2520%25281791%252C%2520Phoenix%2529.jpg,https://www.wikidata.org/wiki/Q63034968,Victoire de France
Q88218806,,Jean-Claude Naigeon,1791,Bowes Museum,https://commons.wikimedia.org/wiki/Special:FilePath/Jean%2520Claude%2520Naigeon%2520%25281753-1832%2529%2520%2528attributed%2520to%2529%2520-%2520Numa%2520Consulting%2520the%2520Nymph%2520Egeria%2520-%2520B.M.245%2520-%2520Bowes%2520Museum.jpg,https://www.wikidata.org/wiki/Q88218806,Égérie
Q88218829,,Jean-Joseph Taillasson,1791,Bowes Museum,https://commons.wikimedia.org/wiki/Special:FilePath/Jean%2520Joseph%2520Taillasson%2520%25281745-1809%2529%2520-%2520Spring%2520%2528or%2520Flora%2529%2520Leading%2520Cupid%2520Back%2520to%2520Nature%2520-%2520B.M.262%2520-%2520Bowes%2520Museum.jpg,https://www.wikidata.org/wiki/Q88218829,Flore
Q119020222,,Élisabeth Vigée Le Brun,1791,,https://commons.wikimedia.org/wiki/Special:FilePath/%25C3%2589lisabeth%2520Louise%2520Vig%25C3%25A9e%2520Le%2520Brun%2520%25281755-1842%2529%2520%2528after%2529%2520-%2520The%2520Artist%2520at%2520Work%2520%2528Self%2520Portrait%2529%2520-%25202004.592%2520-%2520Watford%2520Museum.jpg,https://www.wikidata.org/wiki/Q119020222,Élisabeth Vigée Le Brun
Q52213404,Autoportrait,Élisabeth Vigée Le Brun,1791,Ickworth House,https://commons.wikimedia.org/wiki/Special:FilePath/%25C3%2589lisabeth%2520Louise%2520Vig%25C3%25A9e%2520Le%2520Brun%2520%25281755-1842%2529%2520-%2520Self%2520Portrait%2520-%2520851782%2520-%2520National%2520Trust.jpg,https://www.wikidata.org/wiki/Q52213404,Élisabeth Vigée Le Brun
